SBAN;SEDE;MUNICIPIO;REGIONAL;DPTO;Direccion;HORARIO;ATENCION;;;;;;;;
250;BOGOTA - PALOQUEMAO;Bogotá, D.C.;BOGOTA;Bogotá D.C;Avenida Calle 19 N° 25 - 04;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
590;BOGOTA - BARRIO RESTREPO;Bogotá, D.C.;BOGOTA;Bogotá D.C;Cra.18 No.15-31/37/ 38 sur;LUNES A VIERNES;9:00 A.M. A 4:00 P.M.;;;;;;;;
260;BOGOTA - CORABASTOS;Bogotá, D.C.;BOGOTA;Bogotá D.C;Cra. 86 No. 24 A 19 Sur Local D;LUNES A VIERNES Y SABADO;DE LUNES A VIERNES DE 7:00 A.M. A 3:30 PM Y SABADO 8:00 A.M. A 1 P.M.;;;;;;;;
1359;ENVIGADO;Envigado;ANTIOQUIA;Antioquia;Calle 38 Sur No. 42-03;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6011;GIRON;Girón;SANTANDERES;Santander;Calle 30 # 25-13;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3916;CENTRAL DE ABASTOS NEIVA;Neiva;SUR;Huila;CALLE 38 SUR No. 3-50 BODG. F101 Y F118 BLOQUE F;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1351;BELLO;Bello;ANTIOQUIA;Antioquia;"
CALLE 30 # 25 - 13";LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4503;ACACIAS;Acacías;BOGOTA;Meta;Carrera 17 No. 12 - 51;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6315;CENTRAL DE ABASTOS SINCELEJO;Sincelejo;COSTA;Sucre;Calle 38 N°19-232 Local C11 Sector Ma-B1;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
6015;FLORIDABLANCA;Floridablanca;SANTANDERES;Santander;CRA. 8 N° 5-02;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
360;calle cien;Bogotá, D.C.;BOGOTA;Bogotá D.C;Calle 100 No.17 A - 11 edif. Tundanza;LUNES A VIERNES;9:00 A.M. A 4:00 P.M.;;;;;;;;
